name,title,male,culture,mother,father,heir,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive,isACommander,inHouseOfWarLead,houseSworeAllegiance,inHouseOfAllegnc
Viserys II Targaryen,unknown,1,unknown,Rhaenyra Targaryen,Daemon Targaryen,Aegon IV Targaryen,unknown,0,0,0,0,0,1.0,0.0,0.0,-1.0,0,0,37.0,11,1,1,0.605351170568561,0,0,0,0,0
Walder Frey,Lord of the Crossing,1,Rivermen,unknown,unknown,unknown,Perra Royce,1,1,1,1,1,-1.0,-1.0,-1.0,1.0,1,1,97.0,1,1,1,0.896321070234113,1,1,1,1,0
Addison Hill,Ser,1,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.267558528428093,1,0,0,1,0
Aemma Arryn,Queen,0,unknown,unknown,unknown,unknown,Viserys I Targaryen,0,0,0,0,0,-1.0,-1.0,-1.0,0.0,1,1,23.0,0,0,0,0.183946488294314,0,0,0,1,1
Sylva Santagar,Greenstone,0,Dornish,unknown,unknown,unknown,Eldon Estermont,0,0,0,1,0,-1.0,-1.0,-1.0,1.0,1,1,29.0,0,0,0,0.0434782608695652,1,0,0,1,0
Tommen Baratheon,unknown,1,unknown,Cersei Lannister,Robert Baratheon,Myrcella Baratheon,unknown,0,0,0,0,0,1.0,1.0,1.0,-1.0,0,0,37.0,5,1,1,1.0,1,0,0,0,0
Valarr Targaryen,Hand of the King,1,Valyrian,unknown,unknown,unknown,Kiera of Tyrosh,0,0,0,0,0,-1.0,-1.0,-1.0,1.0,1,1,26.0,0,0,1,0.431438127090301,0,0,0,1,1
Viserys I Targaryen,unknown,1,unknown,Alyssa Targaryen,Baelon Targaryen,Rhaenyra Targaryen,unknown,0,0,0,0,0,1.0,1.0,1.0,-1.0,0,0,37.0,5,1,1,0.678929765886287,0,0,0,0,0
Wilbert,Ser,1,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.0066889632107023,0,0,0,0,0
Wilbert Osgrey,Ser,1,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.020066889632107,1,0,0,0,0
Will,unknown,1,unknown,unknown,unknown,unknown,unknown,1,1,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.163879598662207,0,0,0,1,0
Will (orphan),unknown,0,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0033444816053511,1,0,0,0,0
Will (squire),unknown,1,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0033444816053511,1,0,0,0,0
Will (Standfast),unknown,0,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0033444816053511,1,0,0,0,0
Will (Treb),unknown,1,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0033444816053511,1,0,0,0,0
Will Humble,unknown,1,Ironborn,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0133779264214046,1,0,0,1,0
Willam,unknown,1,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0133779264214046,1,0,0,0,0
Willem Wylde,Ser,1,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.020066889632107,1,0,0,1,0
Willifer,Archmaester,0,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.0066889632107023,1,0,0,0,0
Willit,unknown,1,unknown,unknown,unknown,unknown,unknown,0,1,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0100334448160535,1,0,0,1,0
Willis Wode,Ser,1,unknown,unknown,unknown,unknown,unknown,1,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.020066889632107,1,0,0,1,0
Willis Fell,Ser,0,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.0234113712374581,1,0,0,1,0
Willow Heddle,unknown,0,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,0,0,16.0,0,0,0,0.0334448160535117,1,0,0,0,0
Willum,Ser,1,unknown,unknown,unknown,unknown,unknown,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,1,37.0,0,0,0,0.0,1,0,0,0,0
Wolmer,unknown,1,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0033444816053511,1,0,0,0,0
Willow Witch-eye,unknown,0,Free Folk,unknown,unknown,unknown,unknown,0,0,0,0,1,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0501672240802675,0,0,0,0,0
Woth,unknown,1,unknown,unknown,unknown,unknown,unknown,0,1,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0301003344481605,0,0,0,0,0
Wulfe,unknown,1,Ironborn,unknown,unknown,unknown,unknown,0,0,0,1,1,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0234113712374581,1,0,1,1,1
Wyl the Whittler,unknown,0,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0066889632107023,1,0,0,0,0
Wyl (guard),unknown,0,Northmen,unknown,unknown,unknown,unknown,1,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0267558528428093,0,0,1,1,1
Wyl Waynwood,unknown,0,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,0,0,37.0,0,0,0,0.0133779264214046,0,0,0,1,0
